Text,string_City,score_Count People Found Review Helpful,date_Date Created,string_Name,score_Overall Rating,string_Place Location,string_State,string_User Name,raw_tags,themes,subthemes
소수인원만 들어갈수있음,New York,,2/10/2022 0:00,Mejuri,4,"43 Spring St, New York, NY",NY,,Failed,,
"Had an amazing experience at this Mejuri location! I love their products anyways and to top it off, Bryce really went above and beyond to help my fiancé and I get our wedding bands. Would recommend going for beautiful, sustainable jewelry at a great price!",Short Hills,0.0,10/10/2024 0:00,Mejuri,5,"1200 Morris Tpke, Short Hills, NJ, United States",NJ,Melissa Gaynor,Failed,,
I needed a new back for my earring and Lara was amazing and helped me without hesitation and took her time finding exactly what material I needed.,Short Hills,0.0,1/27/2025 0:00,Mejuri,5,"1200 Morris Tpke, Short Hills, NJ, United States",NJ,Shivani Patel,Failed,,
"Ive visited this location twice and was not acknowledged or greeted on both occasions. I understand staff can be busy, but the store is small and a simple ""hello"" goes a long way.",Short Hills,0.0,1/10/2025 0:00,Mejuri,1,"1200 Morris Tpke, Short Hills, NJ, United States",NJ,Mackey,Failed,,
"I bought the Diamond Necklace ($298) for my girlfriend to match a ring that she has.  She tried it on when I brought it home, and the chain broke while she went to remove it.  Literally immediately.  Clearly, there was a defect in the chain, because she didnt pull at it, didnt get stuck on clothing or hair, it just fell apart.  She immediately submitted a customer service claim (which purports to respond within 24 hours).  After 6 days, they finally responded and said that they will not be honoring the Warranty Policy because either:1. the claim is outside the two year period (false), 2. the item is lost and not in our possession (false), incorrect materialcare was provided to the piece (false, it was just taken out of the box), normal wear and tear such as scratching or bent (also false, again, it was just taken out of the box), or a third-party vendor was used to repair the item (again, it was just taken out of the box).  This company is a complete scam, they clearly did not read the claim and just automatically rejected it.  I will be disputing this purchase with my credit card.  What a joke of a company, and terrible quality jewelry.",Philadelphia,1.0,12/10/2024 0:00,Mejuri,1,"1525 Walnut St, Philadelphia, PA",PA,Rob Churchill,Failed,,
"I did a return and a pickup order today at this location—both matters were handled properly and smoothly. Staff are friendly. When I was there, it wasnt too busy. This is the only Mejuri store Ive ever been to, so I dont know if they are all laid out in the same manner. For this Philly location, its not big but they have a decent selection. Its nice to be able to see the jewelry in person.",Philadelphia,0.0,2/10/2024 0:00,Mejuri,5,"1525 Walnut St, Philadelphia, PA",PA,Eleni,Failed,,
Birdie at this location was wonderful! Beautiful pieces a good price ranges for all. Love it,Philadelphia,0.0,2/9/2025 0:00,Mejuri,5,"1525 Walnut St, Philadelphia, PA",PA,Cass Gaeta,Failed,,
The painting of their facade was blocking the entire sidewalk for hours at an extremely busy time of day on one of the busiest streets in philly for foot traffic. They forced people to walk in walnut street which is packed with cars and very dangerous. Do it at night or have a better plan. Thumbs down.,Philadelphia,1.0,8/10/2024 0:00,Mejuri,1,"1525 Walnut St, Philadelphia, PA",PA,Dustin Webster,Failed,,
The staff here are so friendly and helpful! I knew nothing about jewellery and they had so patiently explained everything from sizing to materials. The exchange process was also very easy. They were so patient and were always happy to assist over the multiple times I had to return due to changes in measurements. Thank you for all the assistance!,Philadelphia,0.0,2/10/2024 0:00,Mejuri,5,"1525 Walnut St, Philadelphia, PA",PA,Nam Tran,Failed,,
"I purchased an emerald baguette stud earrings less than 2 months ago.  Ive worn it twice. I love it a lot except the other day, it totally fell off my right ear. It almost went down the drain as I was washing my hands. The 14k gold backing for some reason did not fit eventhough Ive had it on all day. Weird! I went back to this location to make a complaint. I was greeted by the manager, Emma. She quickly replaced my backing and gave me an extra one with no questions asked. Excellent customer service! This is the 2nd pair of mejuri earrings I own. The jury is still out on the quality but I do like the customer service Ive had in both, Philly and Calgary stores. Otherwise, I would give it a 5 star.",Philadelphia,0.0,3/10/2024 0:00,Mejuri,4,"1525 Walnut St, Philadelphia, PA",PA,"Arlene Navarro, MA LPC",Failed,,
"Yesterday I went to buy my daughter a Christmas present, I wanted something simple and beautiful. She is a meteorologist for the Air Force so it had to be something she could hide under her uniform.Daze helped me find the perfect piece (jade necklace). I was overjoyed how fast and simple it was to complete my transaction. And every question I asked Daze knew the answer. My biggest concern was that my daughter lives in England and if something should happen to the clasp or chain I wanted to make sure she could get it fixed.Thank you Mejuri team!!!",Philadelphia,0.0,2/10/2024 0:00,Mejuri,5,"1525 Walnut St, Philadelphia, PA",PA,Hope Osecky,Failed,,
"Whatever you do, dont buy from here. We have purchased 5 pieces of gold jewelry and 4 broke in under 2 years. Unfortunately we werent aware of their limited 2 year warranty, and they wont do anything for us since its been a couple months over 2 years. Gold chains and gold clasps should not break in half. Go elsewhere.UPDATE-Since this review, they reached out and after lots of back and forth, they replaced some of the items. Its truly unfortunate they didnt take care of us as paying customers. They only saved face once we went public with the truth about their products and customer service.",Philadelphia,2.0,4/10/2024 0:00,Mejuri,1,"1525 Walnut St, Philadelphia, PA",PA,Phil George,Failed,,
I have gone twice and everything was pristine. They have a large selection. The workers answered every question I had (and I had a lot!) with grace. They absolutely went out of their way for me. Very happy with my purchase.  I will be back when the piercer is open and flat back earrings are available for purchase!,Philadelphia,1.0,2/10/2024 0:00,Mejuri,5,"1525 Walnut St, Philadelphia, PA",PA,LB,Failed,,
"They sold me a damaged necklace with a dent near the clasp! When I went back to return, they wouldnt accept the return and told me to reach out to customer care. Very unhelpful in store as I never took the necklace out of the box and bought 6+ pieces from them! This is unacceptable for an item I paid over $200+ for!",Philadelphia,3.0,2/10/2024 0:00,Mejuri,1,"1525 Walnut St, Philadelphia, PA",PA,A A,Failed,,
By far my favorite jewelry store in Philadelphia! The staff are amazing and its a low pressure shopping experience. The selection is great. I like that you can freely try on items in the store and get assistance when needed. The products are very high quality.,Philadelphia,1.0,2/10/2024 0:00,Mejuri,5,"1525 Walnut St, Philadelphia, PA",PA,Kadeem Morris,Failed,,
"Had a bit of a mixup that required a quick solution and Ashley was my hero, went above and beyond to make sure everything turned out the way it needed to. Highly recommend!",Philadelphia,1.0,9/10/2024 0:00,Mejuri,5,"1525 Walnut St, Philadelphia, PA",PA,Will Levinger,Failed,,
Went here at the request of a family member for a Christmas gift.  The store is very clean and the staff was very informative.  Stress fee checkout.  Packaged products were very impressive!,Philadelphia,0.0,2/10/2024 0:00,Mejuri,5,"1525 Walnut St, Philadelphia, PA",PA,Suzanne Fisher,Failed,,
"Absolutely horrible experience. The sales have horrible attitude —— sassy and entitled, as a costumer of minority identity I dont feel comfortable shopping here. Also they dont take cash at all!",Philadelphia,3.0,5/10/2024 0:00,Mejuri,1,"1525 Walnut St, Philadelphia, PA",PA,LU Keyu,Failed,,
Needed to exchange rings because they were too small. One ring was mislabeled on the inventory. Manager left us to figure it out online instead of helping on their end.,Philadelphia,2.0,2/10/2024 0:00,Mejuri,1,"1525 Walnut St, Philadelphia, PA",PA,Zach Tannoia,Failed,,
"Great service, affordable items",Philadelphia,0.0,1/10/2025 0:00,Mejuri,5,"1525 Walnut St, Philadelphia, PA",PA,Domenic Ardolino,Failed,,
great service and products.  will return.,Philadelphia,1.0,2/10/2024 0:00,Mejuri,5,"1525 Walnut St, Philadelphia, PA",PA,ann myssiorek,Failed,,
"I went yesterday for a piercing appointment and it was AMAZING! I am very particular when it comes to those kinds of things because I get nervous but I completely felt at ease. It was a very simple process, I was educated properly and the piercing room is absolutely gorgeous! I ended up purchasing an additional pair of stud earrings for another one of my ear piercings that are fully healed and I will certainly be coming back. 100% recommended!",Bethesda,0.0,12/10/2024 0:00,Mejuri,5,"7247 Woodmont Ave, Bethesda, MD",MD,Zuleirys Santana Rodriguez,Failed,,
"I went to the store and the store associate made the wrong order of the item I wanted ordering the bundle to my house and not just the earring single. Now I have to make the return online but that is not being done correctly due to the confusion. I told and showed the store associate what I wanted in person and on my phone but she still managed to order the wrong item, creating more of a hassle and problem for me, in which I am still out of the amount I paid because I did not get the refund (for a wrong order I did not place nor want). It is not a small amount and the customer service is lacking for a place that sells overpriced and expensive jewelry. Please make sure to confirm with the customer that the order that is being placed is correct before charging the customer $200 ! This is ridiculous.",Bethesda,0.0,1/10/2025 0:00,Mejuri,1,"7247 Woodmont Ave, Bethesda, MD",MD,sharon lee,Failed,,
"I entered the shop and was greeted by everyone. Its such a pleasant atmosphere and my salesperson Olivia was amazing. She took the time to listen to what I like,recommend great options and stayed within my budget! I didnt feel pressured to purchase  and she even wrote down my ring sizes for me so Id know for future purchases. The store has great options from simple to statement pieces  so anyone can find something theyd enjoy. Great experience at this store and ask for Olivia!",Bethesda,0.0,9/10/2024 0:00,Mejuri,5,"7247 Woodmont Ave, Bethesda, MD",MD,Kristen Greenwood,Failed,,
"Im happy with the jewelry I purchased and the customer service I received from the sales associates, but am disappointed with the lack of professionalism from the piercer. She was 25 minutes late to my scheduled appointment and she also told me the incorrect price for some of the jewelry I wanted, so I ended up spending more than I had expected. I only realized this after checking the receipt in my email inbox, which arrived after I left the store, and when I called back to get clarification on pricing, all the piercer said was that she was sorry that she must have incorrectly memorized the pricing. For the amount I spent on jewelry and the hour I drove to get to my appointment on time (since theres only a 10-minute grace period), I expected more from Mejuri. Based on my experience, I will likely not be visiting again any time soon and would not recommend the piercing studio at this location.",Bethesda,0.0,11/10/2024 0:00,Mejuri,3,"7247 Woodmont Ave, Bethesda, MD",MD,Michelle Kim,Failed,,
"Super nice & personable staff! But the quality of the Jewlery is really questionable…. Ive had issues with now 2 pairs of earrings from them & with the price point it wouldnt really make sense to pay almost $300 for a pair of earrings that just fall off your ear after 1-2 months of wearing them. Also gotta kick rocks if you do because warranty doesnt cover that! The make and quality is just, weird? White gold but I dont know…. Cheap white gold? Ive never had earrings just fall off my ear. The earring backings on most of their earrings are so cheap looking and cheaply made. For the earrings that clasp on, they just arent made the best so the clasp ends up not… clasping.. They suggest to buy plastic earring backings from Amazon to help keep them in. But Id hope if I buy a diamond gold earring the earring would kinda stay in my ear, ya know? 5/5  location, 5/5  customer service/staff, 2/5  Jewlery quality, just go for the rings Id stray away from earrings",Bethesda,0.0,12/10/2024 0:00,Mejuri,4,"7247 Woodmont Ave, Bethesda, MD",MD,Britteny Etienne,Failed,,
"We had a great experience with the piercer, Sarah. My 15-year-old daughter was nervous about her second lobe piercing and she was alittle teary-eyed when we arrived. Sarah was kind, informative, and gentle with her. My daughter is very happy and I would recommend Sarah to others. Easy to book online.",Bethesda,1.0,12/10/2024 0:00,Mejuri,5,"7247 Woodmont Ave, Bethesda, MD",MD,Annie Allen,Failed,,
"I have mostly always had a wonderful experience at Mejuri whether in SoHo or Bethesda. I went for the event that was there this past week and it was very hectic - lovely set up but hectic nonetheless. All of the staff seemed to be overwhelmed understandably so, however the lady that help me and my friend seemed as though she did not want to help us. A line was created to try and get assistance and the employee seemed to try and skip right over us after helping the woman in front of us she literally did not look at us/ greet us and just skipped right over to the woman behind us. It was quite rude and i didnt get her name. She also sent my confirmation to wrong email.  I did call to get assistance the next day to confirm my purchase and Tracy was extremely kind and helpful.",Bethesda,0.0,12/10/2024 0:00,Mejuri,4,"7247 Woodmont Ave, Bethesda, MD",MD,Paige Thomas,Failed,,
The Indian manager always helps me pick out the best Jewelry for my sisters and gives me the most creative ideas.,Bethesda,1.0,2/6/2025 0:00,Mejuri,5,"7247 Woodmont Ave, Bethesda, MD",MD,Abdalla Khalifa,Failed,,
"I had a great experience in Mejuri!  The staff were all attentive, helpful and so nice!I got exactly what I wanted when I walked into the pretty store!!!",Bethesda,0.0,11/10/2024 0:00,Mejuri,5,"7247 Woodmont Ave, Bethesda, MD",MD,Vicki Dodson,Failed,,
The jewelry is fine and I love the finish of every piece. I love purchasing all my dainty and beautiful everyday pieces from Mejuri. I have tried other stores but the color and shine of gold at Mejuri makes the pieces look more beautiful. The store associates at Bethesda are very helpful. I prefer going to the store as they give valuable suggestions while picking the jewelry.,Bethesda,1.0,2/10/2024 0:00,Mejuri,5,"7247 Woodmont Ave, Bethesda, MD",MD,Sujatha Namburi,Failed,,
