Text,string_City,score_Count People Found Review Helpful,date_Date Created,string_Name,score_Overall Rating,string_Place Location,string_State,string_User Name,raw_tags,themes,subthemes
"I recently visited Mejuri and had a great experience! The store has a wide selection of beautiful pieces. The sales associates were incredibly friendly and helpful, offering great advice and making sure I felt comfortable throughout my visit and with my purchases.What really stood out was the piercing studio experience with Dawn (their in house piecer). She was not only knowledgeable but also professional and patient. Dawn gave me personalized ear styling tips, helping me select the perfect placement and jewelry that would complement my other piercings. The piercing studio is very clean and Dawn took great care in ensuring everything was sterile throughout the entire process. She used all the necessary precautions and followed a strict protocol to maintain a clean and safe environment, which made me feel even more confident in her expertise.Overall, I highly recommend Mejuri for both their beautiful jewelry and exceptional piercing experience. Its clear that they take great care in providing a top-notch customer experience! Will be back!",Chestnut Hill,0,2/7/2025 0:00,Mejuri,5,"27 Boylston St, Chestnut Hill, MA",MA,Rebecca Gaffney,"{'Exceptional Customer Service & Support': ['friendly', 'helpful', 'personalized'], 'Professional Piercing Services & Environment': ['piercing studio', 'clean', 'sterile', 'knowledgeable', 'professional'], 'Store Organization & Product Selection': ['wide selection'], 'Store Ambiance & Try-On Experience': ['comfortable', 'great experience'], 'Aesthetic Design & Visual Appeal': ['beautiful pieces']}",Exceptional Customer Service & Support | Professional Piercing Services & Environment | Store Organization & Product Selection | Store Ambiance & Try-On Experience | Aesthetic Design & Visual Appeal,friendly | helpful | personalized | piercing studio | clean | sterile | knowledgeable | professional | wide selection | comfortable | great experience | beautiful pieces
I originally bought the wrong size chain. I went to Mejuri Chestnut Hill today and the staff was incredibly helpful. Great quality jewelry with a good mens line and exceptional customer service. Highly recommend.,Chestnut Hill,0,2/9/2025 0:00,Mejuri,5,"27 Boylston St, Chestnut Hill, MA",MA,Duncan Speel,"{'Exceptional Customer Service & Support': ['incredibly helpful', 'exceptional customer'], 'Value & Price-Quality Assessment': ['great quality'], 'Store Organization & Product Selection': ['mens line'], 'Complex Returns & Warranty Handling': ['wrong size']}",Exceptional Customer Service & Support | Value & Price-Quality Assessment | Store Organization & Product Selection | Complex Returns & Warranty Handling,incredibly helpful | exceptional customer | great quality | mens line | wrong size
"I went to Mejuri chestnut hill today and got my ear pierced by Dawn!! Dawn was amazing and walked me through the whole process so I felt comfortable the whole time. The piercing looks amazing and I am so happy with it. If you ever need to get your ears/ear pierced, I highly recommend Dawn at Mejuri chestnut hill",Chestnut Hill,0,2/9/2025 0:00,Mejuri,5,"27 Boylston St, Chestnut Hill, MA",MA,Amanda Reetz,"{'Professional Piercing Services & Environment': ['ear pierced', 'piercing', 'whole process'], 'Exceptional Customer Service & Support': ['Dawn', 'walked me', 'felt comfortable'], 'Aesthetic Design & Visual Appeal': ['looks amazing']}",Professional Piercing Services & Environment | Exceptional Customer Service & Support | Aesthetic Design & Visual Appeal,ear pierced | piercing | whole process | Dawn | walked me | felt comfortable | looks amazing
"Beware, this mostly online retailer has an F rating from the Better Business Bureau. I purchased a pair of their earrings that I later wished I had returned as they were far to too heavy to be comfortable to wear. I tried to post an honest review on their site which strangely never appeared after multiple attempts, making me doubt the validity of their customer product reviews. If you purchase any of their products, I would first visit the store and view in person, rather than going by the reviews. I would also  be sure to save all of the packaging materials in case you are not completely satisfied with the product (which may be likely). Mejuri has not responded on why the website did not accept my review, but did tell me they pass along my product feedback.",Boston,0,1/10/2025 0:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,Carolyn Cerva,"{'Online Shopping Experience': ['online retailer', 'website'], 'Product Durability & Quality Issues': ['too heavy', 'uncomfortable'], 'Communication & Policy Consistency': ['not responded', 'never appeared'], 'Complex Returns & Warranty Handling': ['packaging materials', 'return'], 'Store Organization & Product Selection': ['view in person'], 'Value & Price-Quality Assessment': ['not satisfied']}",Online Shopping Experience | Product Durability & Quality Issues | Communication & Policy Consistency | Complex Returns & Warranty Handling | Store Organization & Product Selection | Value & Price-Quality Assessment,online retailer | website | too heavy | uncomfortable | not responded | never appeared | packaging materials | return | view in person | not satisfied
We had a lovely experience here at Mejuri on Newbury. The staff were warm and welcoming and helped me pick out a few new earrings to add to my collection. They have quality pieces that are timeless and affordable. We would definitely recommend this location!,Boston,0,12/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Suzy Chu,"{'Exceptional Customer Service & Support': ['warm', 'welcoming', 'helped'], 'Store Organization & Product Selection': ['pick out'], 'Value & Price-Quality Assessment': ['quality pieces', 'affordable'], 'Affordable Luxury & Investment Value': ['timeless']}",Exceptional Customer Service & Support | Store Organization & Product Selection | Value & Price-Quality Assessment | Affordable Luxury & Investment Value,warm | welcoming | helped | pick out | quality pieces | affordable | timeless
"I came in to buy some hoops and the person who helped me made me feel very unwelcome. She didnt greet me at all and whenever I asked a question, gave me very short answers which made me feel very rushed. She seemed annoyed the entire time I was there. At the end of the purchase, she walked away without saying anything and went behind the counter so I awkwardly waited where I was until my earrings were ready. Everyone else seemed lovely so either she was having a bad day or I wasnt welcome. Its a shame because I was excited to visit and love the jewelry but I dont think Ill be going here again.",Boston,0,11/10/2024 0:00,Mejuri,2,"126 Newbury St, Boston, MA",MA,Christine Byun,"{'Poor Service & Long Wait Times': ['very unwelcome', 'seemed annoyed', 'walked away', 'awkwardly waited'], 'Communication & Policy Consistency': ['short answers', 'didnt greet', 'rushed'], 'Store Ambiance & Try-On Experience': ['excited to visit'], 'Value & Price-Quality Assessment': ['love jewelry']}",Poor Service & Long Wait Times | Communication & Policy Consistency | Store Ambiance & Try-On Experience | Value & Price-Quality Assessment,very unwelcome | seemed annoyed | walked away | awkwardly waited | short answers | didnt greet | rushed | excited to visit | love jewelry
"The ladies working at this location are amazing. It was hard to make a decision because I loved basically everything! The workers here were so patient and answered all of my many questions. I loved that you were able to take a close look at all of the pieces and even try things on.I have been so interested in trying Mejuri for a long time, but because it was all online I never bought anything. This store changed things for me and I will definitely buy again from Mejuri either in person or online.",Boston,0,2/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Madison DeLacy,"{'Exceptional Customer Service & Support': ['amazing', 'patient', 'answered questions'], 'Store Ambiance & Try-On Experience': ['try things', 'close look'], 'Store Organization & Product Selection': ['loved everything'], 'Online Shopping Experience': ['all online'], 'Inventory & Cross-Channel Integration': ['store changed', 'buy again']}",Exceptional Customer Service & Support | Store Ambiance & Try-On Experience | Store Organization & Product Selection | Online Shopping Experience | Inventory & Cross-Channel Integration,amazing | patient | answered questions | try things | close look | loved everything | all online | store changed | buy again
"Came in for an EXCHANGE for a gift worth $100, or for store credit. Went through 3 people in order to find someone who could help me do the exchange (everyone was too busy and told me to wait, which was fine). What was not fine was, finally, when they were helping me, the person REFUNDED to the original payment instead of store credit for an exchange. He even asked me refund to original? with his finger hovering the button, and before I could say NO he pressed it. And then, he told he couldnt undo the refund and told me to ask the original gifter (who is long gone to another country, btw - also do you know how awkward that is??). I obviously did not bother my friend about it again, but this customer service is???",Boston,0,12/10/2024 0:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,Ayra Enders,"{'Poor Service & Long Wait Times': ['too busy', 'wait'], 'Complex Returns & Warranty Handling': ['EXCHANGE', 'store credit', 'REFUNDED'], 'Communication & Policy Consistency': ['couldnt undo', 'ask original'], 'Exceptional Customer Service & Support': ['three people', 'helping me']}",Poor Service & Long Wait Times | Complex Returns & Warranty Handling | Communication & Policy Consistency | Exceptional Customer Service & Support,too busy | wait | EXCHANGE | store credit | REFUNDED | couldnt undo | ask original | three people | helping me
"Had a great experience shopping here on a weeknight when it was almost close. All of the salespeople were super helpful and accommodating, talking us through different pieces and helping us to find the right piece for our price point. I really appreciated their assistance and the selection of in store pieces is pretty wide-ranging. If they dont have something in store theyll order it for you easily and without fees or shipping costs.",Boston,0,2/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Lena Owens,"{'Exceptional Customer Service & Support': ['super helpful', 'accommodating', 'assistance'], 'Store Organization & Product Selection': ['wide-ranging', 'selection'], 'Price & Policy Transparency': ['price point', 'without fees'], 'Online Shopping Experience': ['order it'], 'Inventory & Cross-Channel Integration': ['in store']}",Exceptional Customer Service & Support | Store Organization & Product Selection | Price & Policy Transparency | Online Shopping Experience | Inventory & Cross-Channel Integration,super helpful | accommodating | assistance | wide-ranging | selection | price point | without fees | order it | in store
It feels nice to go into a jewelry store and not feel like a total outsider. I wish I knew the girls name who helped me today. She was black with extension braids. She was amazing!,Boston,0,8/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Stacy Arman,"{'Exceptional Customer Service & Support': ['amazing', 'helped'], 'Store Ambiance & Try-On Experience': ['feels nice', 'not outsider']}",Exceptional Customer Service & Support | Store Ambiance & Try-On Experience,amazing | helped | feels nice | not outsider
Had a great experience here! Went straight to the concierge desk in the back because I knew what I had in mind and Luisa helped me get my earrings in no time. Great customer service and liked the selection of merchandise. Planning to come back for piercings soon!,Boston,0,7/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Anna Potts,"{'Exceptional Customer Service & Support': ['great experience', 'helped me'], 'Store Organization & Product Selection': ['selection', 'merchandise'], 'Professional Piercing Services & Environment': ['piercings'], 'Store Ambiance & Try-On Experience': ['concierge desk']}",Exceptional Customer Service & Support | Store Organization & Product Selection | Professional Piercing Services & Environment | Store Ambiance & Try-On Experience,great experience | helped me | selection | merchandise | piercings | concierge desk
queen staff!!! they really were excited that i was excited and i feel excellent vibes in my new necklaces!,Boston,0,11/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Eliza McKown,"{'Exceptional Customer Service & Support': ['queen staff', 'excited'], 'Store Ambiance & Try-On Experience': ['excellent vibes']}",Exceptional Customer Service & Support | Store Ambiance & Try-On Experience,queen staff | excited | excellent vibes
"I purchased the small croissant ring at the Newbury Street store. The stylists were extremely friendly, knowledgeable and helpful. All my questions were answered. I didnt have to wait to be helped and the checkout was easy. The jewelry is beautiful. Im looking forward to future purchases.",Boston,0,2/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Patty Longo,"{'Exceptional Customer Service & Support': ['extremely friendly', 'knowledgeable', 'helpful', 'questions answered'], 'Store Ambiance & Try-On Experience': ['easy checkout', ""didn't wait""], 'Aesthetic Design & Visual Appeal': ['beautiful jewelry'], 'Store Organization & Product Selection': ['croissant ring']}",Exceptional Customer Service & Support | Store Ambiance & Try-On Experience | Aesthetic Design & Visual Appeal | Store Organization & Product Selection,extremely friendly | knowledgeable | helpful | questions answered | easy checkout | didn't wait | beautiful jewelry | croissant ring
"Holly , Paola and The Team Are Very,~ Friendly & Respectful",Boston,0,5/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Fadolo,"{'Exceptional Customer Service & Support': ['friendly', 'respectful']}",Exceptional Customer Service & Support,friendly | respectful
"Just made a purchase here, Nadia was extremely helpful and was definitely a good part of the reason I decided on getting the bracelet I purchased.Some details of my visit include an extremely short visit 2 days before the day I purchased the bracelet. The store was packed but I still definitely got the help I required, not to mention that she remembered the visit.Overall a great experience at Mejuri",Boston,0,2/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Ernest Goh,"{'Exceptional Customer Service & Support': ['extremely helpful', 'remembered', 'great experience'], 'Store Organization & Product Selection': ['store packed'], 'Professional Piercing Services & Environment': ['got help']}",Exceptional Customer Service & Support | Store Organization & Product Selection | Professional Piercing Services & Environment,extremely helpful | remembered | great experience | store packed | got help
"I was SO excited to hear Mejuri was opening a store on Newbury. Such a clean and fresh looking store. I had my eye on a pair of earrings (unfortunately not carried in store, but was able to try on other options to get a size reference) and Simone helped me lock in my purchase. Ive had my eye on so many quality pieces and it was super cool to see them all in person. Will definitely be back for my next piece!!",Boston,0,2/10/2023 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Danielle Poublon,"{'Store Ambiance & Try-On Experience': ['clean', 'fresh looking', 'try on', 'see them'], 'Store Organization & Product Selection': ['options', 'pieces'], 'Inventory & Cross-Channel Integration': ['not carried'], 'Exceptional Customer Service & Support': ['helped me'], 'Value & Price-Quality Assessment': ['quality pieces']}",Store Ambiance & Try-On Experience | Store Organization & Product Selection | Inventory & Cross-Channel Integration | Exceptional Customer Service & Support | Value & Price-Quality Assessment,clean | fresh looking | try on | see them | options | pieces | not carried | helped me | quality pieces
The ladies working here were super helpful and very accommodating! I was really excited to have Mejuri somewhere close and the store experience definitely didnt disappoint! Its definitely a great experience being able to try on the jewelry before buying :),Boston,0,2/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Chirbee Dy,"{'Exceptional Customer Service & Support': ['super helpful', 'accommodating'], 'Store Ambiance & Try-On Experience': ['store experience', 'try on'], 'Online Shopping Experience': ['somewhere close']}",Exceptional Customer Service & Support | Store Ambiance & Try-On Experience | Online Shopping Experience,super helpful | accommodating | store experience | try on | somewhere close
"service was so bad, some of the staff members (including the manager at the time) were so blatantly unhelpful and seemed to have zero knowledge regarding products/services. staff member had to get manager to advise me how to use klarna (which they promote in the store), and manager said ""ive never had a credit card so idk how klarna works"" as her form of assistance. staff members were so monotone and seemed like they didnt want to be there, except for two. i have worked MANY customer service jobs so i didnt want to be a big stickler, but this was just unacceptable. made my friend and i super uncomfortable and peeved, would never come back here again.",Boston,1,2/10/2024 0:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,libra dom,"{'Poor Service & Long Wait Times': ['service bad', 'unhelpful', 'monotone'], 'Communication & Policy Consistency': ['zero knowledge', 'never had'], 'Store Ambiance & Try-On Experience': ['uncomfortable', 'super uncomfortable']}",Poor Service & Long Wait Times | Communication & Policy Consistency | Store Ambiance & Try-On Experience,service bad | unhelpful | monotone | zero knowledge | never had | uncomfortable | super uncomfortable
They were so lovely and helpful when I needed to make an exchange,Boston,0,9/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Madeleine Lewis Smith,"{'Exceptional Customer Service & Support': ['lovely', 'helpful'], 'Complex Returns & Warranty Handling': ['exchange']}",Exceptional Customer Service & Support | Complex Returns & Warranty Handling,lovely | helpful | exchange
"WARNING:Make sure that they are selling you the correct item!I had a terrible experience at this Newbury St location in Boston. I was looking for a specific item and one of the sales associates tried to sell me something completely different. Thankfully, another associate pointed out that it was the incorrect item. However, when the mistake was pointed out, the first associate shrugged and said eh, its close enough. I was so shocked by the lack of care and customer service, especially considering the high prices of your products.",Boston,2,2/10/2023 0:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,Anna Belle Harada,"{'Poor Service & Long Wait Times': ['terrible experience', 'lack of care'], 'Communication & Policy Consistency': ['incorrect item', 'shrugged'], 'Value & Price-Quality Assessment': ['high prices']}",Poor Service & Long Wait Times | Communication & Policy Consistency | Value & Price-Quality Assessment,terrible experience | lack of care | incorrect item | shrugged | high prices
"I just visited Mejuri and had the worst possible experience. I am a frequent shopper of Van Cleese Arpels and Cartier. I was wearing this when I walked into the shop looking at rings. The woman working there dismissed me as soon as I walked in and said out loud "" use hand sanitizer before and after!!!"". I had not even picked up a piece of jewelry. I asked her to make sure what she knew she was saying because I was so shocked. Then she said it again. I am a VIC at Louis Vuitton and literally was wearing 40k in Cartier. To be treated like trash is beyond me. This place deserves to go down in flames. I get fliers all the time at my high rise apartment asking to visit. This place is trashy just like their associates. You should skip it!",Boston,0,2/10/2024 0:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,Bethany Grace,"{'Poor Service & Long Wait Times': ['worst experience', 'dismissed me', 'treated like'], 'Communication & Policy Consistency': ['said out loud', 'hand sanitizer'], 'Store Ambiance & Try-On Experience': ['walked in', 'looking at'], 'Value & Price-Quality Assessment': ['Cartier', 'Louis Vuitton', 'trashy']}",Poor Service & Long Wait Times | Communication & Policy Consistency | Store Ambiance & Try-On Experience | Value & Price-Quality Assessment,worst experience | dismissed me | treated like | said out loud | hand sanitizer | walked in | looking at | Cartier | Louis Vuitton | trashy
Had an amazing experience shopping at this location. Chris the sales associate was super knowledgeable and made the experience super seamless. Thanks Chris!,Boston,0,6/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Shayna Salomon,"{'Exceptional Customer Service & Support': ['amazing experience', 'super knowledgeable', 'super seamless'], 'Store Ambiance & Try-On Experience': ['shopping', 'experience']}",Exceptional Customer Service & Support | Store Ambiance & Try-On Experience,amazing experience | super knowledgeable | super seamless | shopping | experience
Cant say enough good things about this store and this brand. I love Mejuri. The product is such high quality and so are the team members.,Boston,0,2/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Hannah St. Laurent,"{'Exceptional Customer Service & Support': ['team members'], 'Product Durability & Quality Issues': ['high quality'], 'Value & Price-Quality Assessment': ['good things'], 'Store Organization & Product Selection': ['store', 'brand']}",Exceptional Customer Service & Support | Product Durability & Quality Issues | Value & Price-Quality Assessment | Store Organization & Product Selection,team members | high quality | good things | store | brand
The Newbury St store in Boston  is conveniently located near the Copley T stop. The staff is very friendly and there is a great selection on all the Mejuri products. I highly recommend that you visit this store.,Boston,0,2/10/2024 0:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Ann Cole,"{'Store Organization & Product Selection': ['great selection'], 'Exceptional Customer Service & Support': ['friendly staff'], 'Store Ambiance & Try-On Experience': ['conveniently located']}",Store Organization & Product Selection | Exceptional Customer Service & Support | Store Ambiance & Try-On Experience,great selection | friendly staff | conveniently located
